Name,Date of death,Month of Death,Year of Death,Age at death,Place of death,State,Country,Case,Cause of death,Ref.
Scott La Rock,27-Aug-87,August,1987,25,Bronx,New York,U.S.,Unsolved,Shooting,[7]
Paul C,17-Jul-89,July,1989,24,New York City,New York,U.S.,Solved,Shooting,[8]
"Danny ""D-Boy"" Rodriguez",6-Oct-90,October,1990,22,Dallas,Texas,U.S.,Unsolved,Shooting,[9][10]
Charizma,16-Dec-93,December,1993,20,Milpitas,California,U.S.,Solved,Shooting,[11][12]
Stretch,30-Nov-95,November,1995,27,New York City,New York,U.S.,Unsolved,Shooting,[13]
Seagram,31-Jul-96,July,1996,26,Oakland,California,U.S.,Unsolved,Shooting,[14][15]
Tupac Shakur,13-Sep-96,September,1996,25,Las Vegas,Nevada,U.S.,Unsolved,Shooting,[16][17][18]
Yaki Kadafi,10-Nov-96,November,1996,19,Orange,New Jersey,U.S.,Solved,Shooting,[19]
The Notorious B.I.G.,9-Mar-97,March,1997,24,Los Angeles,California,U.S.,Unsolved,Shooting,[20][21][22]
Fat Pat,3-Feb-98,February,1998,27,Houston,Texas,U.S.,Unsolved,Shooting,[23][24]
Big L,15-Feb-99,February,1999,24,New York City,New York,U.S.,Unsolved,Shooting,[25][26][27]
Freaky Tah,28-Mar-99,March,1999,27,New York City,New York,U.S.,Solved,Shooting,[28]
DJ Uncle Al,10-Sep-01,September,2001,32,Miami,Florida,U.S.,Unsolved,Shooting,[29][30]
Jam Master Jay,30-Oct-02,October,2002,37,New York City,New York,U.S.,Unsolved,Shooting,[31]
Sabotage,24-Jan-03,January,2003,29,São Paulo,Brazil,Brasil,Unsolved,Shooting,[32][33]
Camoflauge,19-May-03,May,2003,21,Savannah,Georgia,U.S.,Unsolved,Shooting,[34]
Half a Mill,24-Oct-03,October,2003,30,New York City,New York,U.S.,Unsolved,Shooting,[35]
Soulja Slim,26-Nov-03,November,2003,26,New Orleans,Louisiana,U.S.,Unsolved,Shooting,[36][37]
Mac Dre,1-Nov-04,November,2004,34,Kansas City,Missouri,U.S.,Unsolved,Shooting,[38]
Blade Icewood,19-Apr-05,April,2005,28,Detroit,Michigan,U.S.,Solved,Shooting,[39]
Proof,11-Apr-06,April,2006,32,Detroit,Michigan,U.S.,Solved,Shooting,[40][41][42]
Big Hawk,1-May-06,May,2006,36,Houston,Texas,U.S.,Unsolved,Shooting,[43]
VL Mike,20-Apr-08,April,2008,32,New Orleans,Louisiana,U.S.,Unsolved,Shooting,[44]
Dolla,18-May-09,May,2009,21,Los Angeles,California,U.S.,Solved,Shooting,[45][46][47]
Lele,1-Jul-10,July,2010,23,Trujillo Alto,Puerto Rico,P.R.,Unsolved,Shooting,[48]
Magnolia Shorty,20-Dec-10,December,2010,28,New Orleans,Louisiana,U.S.,Unsolved,Shooting,[49]
Bad News Brown,11-Feb-11,February,2011,33,Montreal,Quebec,Canada,Unsolved,Unspecified violence,[50][51]
Adán Zapata,1-Jun-12,June,2012,21,San Nicolás de los Garza,Mexico,Mexico,Unsolved,Shooting,[52]
Lil Phat,7-Jun-12,June,2012,19,Sandy Springs,Georgia,U.S.,Solved,Shooting,[53]
MC Daleste,7-Jul-13,July,2013,20,Paulínia,Brazil,Brasil,Unsolved,Shooting,[54]
Lil Snupe,20-Jun-13,June,2013,18,Winnfield,Louisiana,U.S.,Solved,Shooting,[55]
Pavlos Fyssas(Killah p),18-Sep-13,September,2013,34,Keratsini,Greece,Greece,Solved,Stabbing,[56]
Depzman,21-Sep-13,September,2013,18,Birmingham,England,Great Britain,Solved,Stabbing,[57]
Doe B,28-Dec-13,December,2013,22,Montgomery,Alabama,U.S.,Solved,Shooting,[58]
The Jacka,2-Feb-15,February,2015,37,Oakland,California,U.S.,Unsolved,Shooting,[59]
Flabba,9-Mar-15,March,2015,37,Alexandra,South Africa,South Africa,Solved,Stabbing,[60]
Chinx,17-May-15,May,2015,31,New York City,New York,U.S.,Solved,Shooting,[61]
Bankroll Fresh,4-Mar-16,March,2016,28,Atlanta,Georgia,U.S.,Solved,Shooting,[62]
Mr. 3-2,10-Nov-16,November,2016,44,Houston,Texas,U.S.,Solved,Shooting,[63]
XXXTentacion,18-Jun-18,June,2018,20,Deerfield Beach,Florida,U.S.,Solved,Shooting,[64]
Jimmy Wopo,18-Jun-18,June,2018,21,Pittsburgh,Pennsylvania,U.S.,Unsolved,Shooting,[65][66]
Smoke Dawg,30-Jun-18,June,2018,21,Toronto,Ontario,Canada,Solved,Shooting,[67]
Young Greatness,29-Oct-18,October,2018,34,New Orleans,Louisiana,U.S.,Unsolved,Shooting,[68]
Feis,1-Jan-19,January,2019,32,Rotterdam,Netherlands,Netherlands,Unsolved,Shooting,[69]
Kevin Fret,10-Jan-19,January,2019,24,San Juan,Puerto Rico,Puerto Rico,Unsolved,Shooting,[70]
Nipsey Hussle,31-Mar-19,March,2019,33,Los Angeles,California,U.S.,Solved,Shooting,[71]
Pop Smoke,19-Feb-20,February,2020,20,Los Angeles,California,U.S.,Solved,Shooting,[72]
Houdini,26-May-20,May,2020,21,Toronto,Ontario,Canada,Unsolved,Shooting,[73]
Huey,25-Jun-20,June,2020,31,Kinloch,Missouri,U.S.,Unsolved,Shooting,[74]
King Von,6-Nov-20,November,2020,26,Atlanta,Georgia,U.S.,Solved,Shooting,[75]
MO3,11-Nov-20,November,2020,28,Dallas,Texas,U.S.,Solved,Shooting,[76][77]
Einár,21-Oct-21,October,2021,19,Stockholm,Sweden,Sweden,Unsolved,Shooting,[78]
Young Dolph,17-Nov-21,November,2021,36,Memphis,Tennessee,U.S.,Solved,Shooting,[79]
Drakeo the Ruler,19-Dec-21,December,2021,28,Los Angeles,California,U.S.,Unsolved,Stabbing,[80]
Snootie Wild,27-Feb-22,February,2022,36,Houston,Texas,U.S.,Solved,Shooting,[81]
Archie Eversole,5-Apr-22,April,2022,37,Decatur,Georgia,U.S.,Solved,Shooting,[82]
Sidhu Moose Wala,29-May-22,May,2022,28,Mansa,Punjab,India,Solved,Shooting,[83]
Trouble,5-Jun-22,June,2022,34,Atlanta,Georgia,U.S.,Unsolved,Shooting,[84]
Zayar Thaw,23-Jul-22,July,2022,41,Yangon,Myanmar,Myanmar,Solved,Capital punishment,[85]
JayDaYoungan,27-Jul-22,July,2022,24,Bogalusa,Louisiana,U.S.,Unsolved,Shooting,[86]
PnB Rock,12-Sep-22,September,2022,30,Los Angeles,California,U.S.,Solved,Shooting,[87]
Takeoff,1-Nov-22,November,2022,28,Houston,Texas,U.S.,Solved,Shooting,[88]
AKA,10-Feb-23,February,2023,35,Durban,South Africa,South Africa,Solved,Shooting,[89]
